CDNOM;FAMILLE;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
53291;Hesperiidae;Carcharodus alceae (Esper, 1780);Hespérie de l'Alcée;LC;-;LC ;LC 
54052;Lycaenidae;Celastrina argiolus (Linnaeus, 1758);Azuré des Nerpruns;LC;-;LC ;LC 
53661;Nymphalidae;Coenonympha arcania (Linnaeus, 1761);Céphale;LC;-;LC ;LC 
53623;Nymphalidae;Coenonympha pamphilus (Linnaeus, 1758);Fadet commun;LC;-;LC ;LC 
641941;Pieridae;Colias crocea (Geoffroy in Fourcroy, 1785);Souci;LC;-;LC ;LC 
54417;Pieridae;Gonepteryx rhamni (Linnaeus, 1758);Citron;LC;-;LC ;LC 
54475;Papilionidae;Iphiclides podalirius (Linnaeus, 1758);Flambé;LC;-;LC ;LC 
53908;Nymphalidae;Issoria lathonia (Linnaeus, 1758);Petit Nacré;LC;-;LC ;LC 
54376;Pieridae;Leptidea sinapis (Linnaeus, 1758);Piéride de la Moutarde;LC;-;LC ;LC 
53770;Nymphalidae;Limenitis camilla (Linnaeus, 1764);Petit Sylvain;LC;-;LC ;LC 
53973;Lycaenidae;Lycaena phlaeas (Linnaeus, 1761);Cuivré commun;LC;-;LC ;LC 
53668;Nymphalidae;Maniola jurtina (Linnaeus, 1758);Myrtil;LC;-;LC ;LC 
53700;Nymphalidae;Melanargia galathea (Linnaeus, 1758);Demi-Deuil ;LC;-;LC ;LC 
219740;Hesperiidae;Ochlodes sylvanus (Esper, 1777);Sylvaine;LC;-;LC ;LC 
54468;Papilionidae;Papilio machaon Linnaeus, 1758;Machaon;LC;-;LC ;LC 
53595;Nymphalidae;Pararge aegeria (Linnaeus, 1758);Tircis;LC;-;LC ;LC 
54342;Pieridae;Pieris brassicae (Linnaeus, 1758);Piéride du Chou;LC;-;LC ;LC 
219833;Pieridae;Pieris napi (Linnaeus, 1758);Piéride du Navet;LC;-;LC ;LC 
219831;Pieridae;Pieris rapae (Linnaeus, 1758);Piéride de la Rave;LC;-;LC ;LC 
53759;Nymphalidae;Polygonia c-album (Linnaeus, 1758);Le Robert-le-Diable;LC;-;LC ;LC 
54279;Lycaenidae;Polyommatus icarus (Rottemburg, 1775);Azuré de la Bugrane;LC;-;LC ;LC 
53221;Hesperiidae;Pyrgus malvae (Linnaeus, 1758);Hespérie de la Mauve;LC;-;LC ;LC 
608405;Nymphalidae;Pyronia tithonus (Linnaeus, 1771);Amaryllis;LC;-;LC ;LC 
54322;Lycaenidae;Quercusia quercus (Linnaeus, 1758);Thécla du Chêne;LC;-;LC ;LC 
54319;Lycaenidae;Thecla betulae (Linnaeus, 1758);Thécla du Bouleau;LC;-;LC ;LC 
219741;Hesperiidae;Thymelicus lineola (Ochsenheimer, 1808);Hespérie du Dactyle;LC;-;LC ;LC 
219742;Hesperiidae;Thymelicus sylvestris (Poda, 1761);Hespérie de la Houque;LC;-;LC ;LC 
53741;Nymphalidae;Vanessa atalanta (Linnaeus, 1758);Le Vulcain;LC;-;LC ;LC 
53747;Nymphalidae;Vanessa cardui (Linnaeus, 1758);Belle-Dame;LC;-;LC ;LC 
247058;Zygaenidae;Zygaena filipendulae (Linnaeus, 1758);Zygène de la Filipendule;LC;-;/;/
54384;Pieridae;Colias hyale (Linnaeus, 1758);Soufré;DD;-;LC ;LC 
