"";"Nom de référence";"Nom vernaculaire";"Statut*";"Règne";"Classe";"Ordre";"Famille";"CD_REF";"CD_NOM";
"";"Hydrosera triquetra Wallich, 1858";"";"J";"Chromista (Chromistes, Lignée brune)";"Bacillariophyceae (Diatomées)";"Biddulphiales";"Biddulphiaceae";"655478";"655478"
"";"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya, 2014";"Agent de la chalarose du frêne";"J";"Fungi (Champignons)";"Leotiomycetes";"Helotiales";"Helotiaceae";"893794";"893794"
"";"Hyphantria cunea (Drury, 1773)";"Ecaille fileuse (L')";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Erebidae";"249066";"249066"
"";"Impatiens glandulifera Royle, 1833";"Impatiente glanduleuse, Balsamine de l'Himalaya, Balsamine géante, Balsamine rouge";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Ericales (Éricales)";"Balsaminaceae (Balsaminacées)";"103547";"103547"
"";"Lagarosiphon major (Ridl.) Moss, 1928";"Lagarosiphon majeur";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Hydrocharitaceae (Hydrocharitacées)";"104805";"104805"
"";"Lasius neglectus Van Loon, Boomsma & Andrasfalvy, 1990";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hymenoptera (Hyménoptères)";"Formicidae (Fourmis)";"219492";"219492"
"";"Lemna minuta Kunth, 1816";"Lentille d'eau menue, Lenticule minuscule, Lentille d'eau minuscule";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Araceae (Aracées)";"105433";"105433"
"";"Lemna turionifera Landolt, 1975";"Lentille d'eau turionifère, Lenticule turionifère, Lenticule à turion";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Araceae (Aracées)";"105442";"105442"
"";"Leodice antennata Savigny in Lamarck, 1818";"";"J";"Animalia (Animaux)";"Polychaeta (Vers annelés marins, Polychètes)";"Eunicida";"Eunicidae";"566903";"566903"
"";"Lepomis gibbosus (Linnaeus, 1758)";"Perche-soleil, Boer, Calicoba, Perche arc-en-ciel, Perche argentée, Perche dorée, Poisson tricolore, Poisson-soleil, Crapet-soleil";"J";"Animalia (Animaux)";"Actinopterygii (Actinopterygiens, Poissons actinoptérygiens)";"Perciformes (Carangues, Daurades, Mérous, Mulets, Perches)";"Centrarchidae";"69338";"69338"
"";"Limnoria lignorum (Rathke, 1799)";"Limnorie du bois (La), Limnorie perforante (La)";"J";"Animalia (Animaux)";"Malacostraca (Malacostracés)";"Isopoda (Isopodes)";"Limnoriidae";"374346";"374346"
"";"Limnoria quadripunctata Holthuis, 1949";"";"J";"Animalia (Animaux)";"Malacostraca (Malacostracés)";"Isopoda (Isopodes)";"Limnoriidae";"374348";"374348"
"";"Linepithema humile (Mayr, 1868)";"Fourmi d'Argentine";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hymenoptera (Hyménoptères)";"Formicidae (Fourmis)";"219464";"219464"
"";"Lixus incanescens Boheman, 1835";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Coleoptera (Coléoptères)";"Curculionidae (Charançons)";"325216";"325216"
"";"Lonicera japonica Thunb., 1784";"Chèvrefeuille du Japon, Clématite du Japon";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Dipsacales (Dipsacales)";"Caprifoliaceae (Caprifoliacées)";"106571";"106571"
